Date,Open,High,Low,Close,Adj Close,Volume
2013-02-19,398.393402,403.903900,398.038025,403.828827,403.828827,5857700
2013-02-20,403.053040,404.889893,396.291290,396.626617,396.626617,5522800
2013-02-21,399.399414,403.128143,396.006012,398.163177,398.163177,7005700
2013-02-22,400.030029,401.026031,397.297302,400.255249,400.255249,4103600
2013-02-25,401.551544,404.609619,395.640656,395.780792,395.780792,4603100
2013-02-26,397.897888,398.373383,392.592590,395.460449,395.460449,4400500
2013-02-27,397.797791,402.777771,395.950958,400.290283,400.290283,4048100
2013-02-28,400.950958,403.898895,400.915924,401.001007,401.001007,4527000
2013-03-01,399.299286,403.973969,398.473480,403.498505,403.498505,4346400
2013-03-04,403.053040,411.831818,402.902893,411.161163,411.161163,5545600
2013-03-05,414.879883,420.495483,414.864868,419.719727,419.719727,8080100
2013-03-06,420.935944,422.422424,414.819824,416.106110,416.106110,5740200
2013-03-07,417.447449,418.728729,415.205200,416.716705,416.716705,4101200
2013-03-08,417.667664,417.877869,412.937927,416.176178,416.176178,5817900
2013-03-11,416.261261,420.270264,416.166168,417.827820,417.827820,3186200
2013-03-12,415.770782,416.361359,412.247253,414.219208,414.219208,4012500
2013-03-13,414.364349,415.760773,411.566559,413.068054,413.068054,3279300
2013-03-14,413.908905,413.908905,409.104095,411.181183,411.181183,3299000
2013-03-15,409.659668,410.560547,407.077087,407.557556,407.557556,6193200
2013-03-18,402.902893,406.786774,401.136139,404.299286,404.299286,3672900
2013-03-19,406.026031,410.035034,403.628632,406.066071,406.066071,4192200
2013-03-20,408.823822,409.164154,406.126129,407.762756,407.762756,2924600
2013-03-21,406.051056,408.868866,405.330322,406.036041,406.036041,2952200
2013-03-22,407.777771,408.028015,405.225220,405.560547,405.560547,2973400
2013-03-25,406.611603,410.025024,403.813812,405.225220,405.225220,3420500
2013-03-26,407.157166,407.407410,404.299286,406.616608,406.616608,2381400
2013-03-27,403.743744,403.903900,401.066071,401.731720,401.731720,4322000
2013-03-28,402.397400,403.088074,397.047058,397.492493,397.492493,4571000
2013-04-01,397.902893,401.526520,397.022034,400.996002,400.996002,3610900
2013-04-02,402.672668,407.822815,402.402405,406.926941,406.926941,4078900
2013-04-03,407.137146,407.507507,400.735748,403.503510,403.503510,3473500
2013-04-04,402.527527,403.278290,396.046051,397.932922,397.932922,4890300
2013-04-05,393.423431,393.888885,388.588593,391.916931,391.916931,6860900
2013-04-08,389.764771,390.165161,384.584595,387.812805,387.812805,5658500
2013-04-09,388.138153,392.267273,386.941956,389.214203,389.214203,4310200
2013-04-10,391.851837,396.571564,388.388397,395.485474,395.485474,3953200
2013-04-11,396.836823,396.946960,392.422424,395.590576,395.590576,4053300
2013-04-12,396.391388,396.446442,391.856842,395.420410,395.420410,3270100
2013-04-15,393.368378,398.898895,388.898895,391.356354,391.356354,4901200
2013-04-16,393.688690,398.398407,392.352356,397.082092,397.082092,3480500
2013-04-17,393.768768,395.815826,389.439453,391.671661,391.671661,4069900
2013-04-18,393.068054,393.293304,381.011017,383.338348,383.338348,6638300
2013-04-19,384.964966,402.122131,383.513519,400.335327,400.335327,11594700
2013-04-22,400.700714,402.382385,387.887878,400.455444,400.455444,5761000
2013-04-23,400.900909,408.158173,400.580566,404.354340,404.354340,4580000
2013-04-24,404.459473,409.409424,404.404419,407.132141,407.132141,3654500
2013-04-25,408.533539,408.643646,404.219208,404.954956,404.954956,3980400
2013-04-26,404.204193,404.274261,398.688690,401.111115,401.111115,4970400
2013-04-29,402.027039,411.761749,401.901917,409.939941,409.939941,4596900
2013-04-30,409.909912,414.234222,409.249237,412.697693,412.697693,4608700
2013-05-01,412.042053,412.772766,408.588593,410.625641,410.625641,2907000
2013-05-02,410.460449,417.692688,409.934937,415.220215,415.220215,4032500
2013-05-03,418.898895,423.823822,418.418427,423.283295,423.283295,5020100
2013-05-06,424.554565,431.356354,424.554565,431.206207,431.206207,4278300
2013-05-07,431.936951,432.367371,425.760773,429.044037,429.044037,3914000
2013-05-08,428.928925,437.377380,426.881897,437.252258,437.252258,4931600
2013-05-09,435.855865,440.270264,434.549561,436.176178,436.176178,4396700
2013-05-10,438.093079,440.710724,436.516510,440.555542,440.555542,3791600
2013-05-13,439.884888,441.676666,437.127136,439.204193,439.204193,2894100
2013-05-14,439.189178,444.789795,439.009003,443.993988,443.993988,3155400
2013-05-15,448.198212,458.648651,447.457458,458.403412,458.403412,7963800
2013-05-16,459.959961,460.450439,451.456451,452.387390,452.387390,6412700
2013-05-17,455.465454,457.202209,450.710724,455.045044,455.045044,5578400
2013-05-20,452.952942,460.760773,452.952942,454.719727,454.719727,4540800
2013-05-21,454.464478,456.286285,449.254242,453.938934,453.938934,3962000
2013-05-22,451.731720,455.110107,443.883881,445.155151,445.155151,5116000
2013-05-23,438.938934,445.425415,437.437439,441.836823,441.836823,4545600
2013-05-24,438.068054,439.849854,435.940948,437.097107,437.097107,4589000
2013-05-28,442.192200,446.516510,440.640656,441.076080,441.076080,4510400
2013-05-29,438.293304,439.434448,432.577576,434.589600,434.589600,4022700
2013-05-30,435.395386,439.889893,433.638641,435.815826,435.815826,4237100
2013-05-31,434.494507,438.938934,434.194183,436.046051,436.046051,3934800
2013-06-03,436.936951,437.422424,427.937927,434.249237,434.249237,4946400
2013-06-04,434.359344,435.730743,427.462463,429.979980,429.979980,3733400
2013-06-05,431.686676,435.160156,428.993988,430.280273,430.280273,4209300
2013-06-06,432.582581,433.598602,424.034027,432.752747,432.752747,5153000
2013-06-07,435.645660,440.440430,433.093079,440.305298,440.305298,5343800
2013-06-10,441.491486,445.945953,440.485474,445.555542,445.555542,4670900
2013-06-11,442.427429,443.943939,440.200195,440.345337,440.345337,3511600
2013-06-12,443.173187,443.443451,435.260254,436.426422,436.426422,4405100
2013-06-13,434.924927,440.270264,433.183197,438.938934,438.938934,4135600
2013-06-14,440.490479,442.792786,437.502502,437.957947,437.957947,4485500
2013-06-17,440.055054,445.160156,439.579590,443.568573,443.568573,4288300
2013-06-18,444.769775,450.950958,444.619629,450.760773,450.760773,4329400
2013-06-19,451.136139,455.875885,449.199188,450.790802,450.790802,5825900
2013-06-20,447.442444,450.950958,442.097107,442.812805,442.812805,6737200
2013-06-21,444.614624,445.385376,436.971985,440.905914,440.905914,7956600
2013-06-24,436.376373,438.598602,432.057068,435.330322,435.330322,6027700
2013-06-25,439.069061,440.280273,432.687683,433.533539,433.533539,5101200
2013-06-26,437.312317,439.439453,435.720734,437.262268,437.262268,3659100
2013-06-27,439.839844,442.787781,438.763763,438.973969,438.973969,3849100
2013-06-28,437.887878,441.361359,437.532532,440.625641,440.625641,4693900
2013-07-01,443.668671,446.486481,442.942932,444.384399,444.384399,3446100
2013-07-02,445.545532,445.945953,439.074066,441.596588,441.596588,3779200
2013-07-03,440.390381,445.030029,439.689697,443.658661,443.658661,2091900
2013-07-05,445.450439,448.153168,444.114105,447.192200,447.192200,3400300
2013-07-08,450.055054,453.588593,448.988983,452.997986,452.997986,3935000
2013-07-09,455.955963,456.931946,449.439453,453.073059,453.073059,3954800
2013-07-10,452.177185,456.026031,450.640656,453.448456,453.448456,3413300
2013-07-11,456.956970,460.865875,454.714722,460.580566,460.580566,5163200
2013-07-12,460.460449,461.961975,458.078064,461.961975,461.961975,5131200
2013-07-15,462.612610,464.464478,458.638641,462.807800,462.807800,3917000
2013-07-16,464.029022,464.449463,457.407410,460.265259,460.265259,3962000
2013-07-17,460.960968,463.893890,458.608612,459.734741,459.734741,3009100
2013-07-18,459.954956,460.460449,452.047058,455.795807,455.795807,7261700
2013-07-19,443.748749,451.926941,438.243256,448.748749,448.748749,14703800
2013-07-22,451.451447,456.791779,448.948944,455.805817,455.805817,5800500
2013-07-23,455.805817,456.956970,450.235229,452.352356,452.352356,4087300
2013-07-24,454.084076,455.605591,450.800812,451.901917,451.901917,4152800
2013-07-25,447.382385,448.873871,443.483490,444.294281,444.294281,5996100
2013-07-26,443.938934,445.440430,441.441437,443.118103,443.118103,3551800
2013-07-29,442.892883,447.857849,440.885895,441.576569,441.576569,3780000
2013-07-30,443.173187,448.253265,440.875885,445.905914,445.905914,3507600
2013-07-31,446.941956,448.703705,443.533539,444.319305,444.319305,4342600
2013-08-01,447.947937,452.727722,447.947937,452.562561,452.562561,4272500
2013-08-02,452.172180,453.953949,450.860870,453.738739,453.738739,3424300
2013-08-05,453.148163,453.213226,450.050049,452.952942,452.952942,2616700
2013-08-06,452.797791,455.310303,448.313324,448.733734,448.733734,3009100
2013-08-07,447.967957,449.674683,444.989990,445.770782,445.770782,2755600
2013-08-08,448.193207,448.368378,443.088074,446.776764,446.776764,2973000
2013-08-09,445.725739,448.208221,445.445435,445.650665,445.650665,2644700
2013-08-12,443.893890,443.943939,441.266266,443.198212,443.198212,2751200
2013-08-13,443.858856,444.694702,438.538544,441.066071,441.066071,2836700
2013-08-14,439.624634,440.555542,434.014008,435.340332,435.340332,4160200
2013-08-15,432.652649,432.892883,429.429443,430.260254,430.260254,3734600
2013-08-16,431.071075,431.651642,428.698700,428.883881,428.883881,3346800
2013-08-19,429.284271,436.436432,429.154144,433.258270,433.258270,3618100
2013-08-20,434.609619,436.491486,432.202209,433.143158,433.143158,2463500
2013-08-21,435.760773,438.893890,433.683685,435.100098,435.100098,3511000
2013-08-22,436.786774,437.812805,435.560547,437.292297,437.292297,1738000
2013-08-23,439.354340,439.439453,435.310303,435.540527,435.540527,2152000
2013-08-26,435.435425,437.887878,433.458466,433.628632,433.628632,2102800
2013-08-27,430.240234,432.297302,424.374359,425.500488,425.500488,3464700
2013-08-28,425.550537,428.133148,424.309296,424.699707,424.699707,2657100
2013-08-29,424.959961,430.620605,424.719727,428.143158,428.143158,2954000
2013-08-30,428.308319,429.449463,423.203217,423.873871,423.873871,3719400
2013-09-03,427.607605,433.528534,427.402405,430.620605,430.620605,4091100
2013-09-04,430.605591,437.187195,428.013000,436.251251,436.251251,4078300
2013-09-05,437.187195,440.380371,436.241241,440.220215,440.220215,2580000
2013-09-06,441.661652,442.332336,437.307312,440.230225,440.230225,3120000
2013-09-09,442.307312,445.320313,441.651642,444.469482,444.469482,2466700
2013-09-10,445.455444,446.446442,442.442444,444.779785,444.779785,2572600
2013-09-11,444.714722,448.933929,443.483490,448.543549,448.543549,3217900
2013-09-12,449.149139,449.399414,445.450439,446.976990,446.976990,2188800
2013-09-13,447.697693,448.288300,442.862854,444.979980,444.979980,2648100
2013-09-16,448.548553,448.948944,442.877869,444.324310,444.324310,2670300
2013-09-17,444.149139,444.639648,440.940948,443.498505,443.498505,2516200
2013-09-18,443.618622,452.437439,441.976990,452.112122,452.112122,3865500
2013-09-19,453.448456,453.448456,448.148163,449.644653,449.644653,3192600
2013-09-20,449.644653,452.517517,448.258270,452.007019,452.007019,8681900
2013-09-23,448.523529,451.246246,443.043030,443.693695,443.693695,3551200
2013-09-24,443.693695,445.495483,441.141144,443.863861,443.863861,2970600
2013-09-25,443.718719,443.718719,438.238251,439.054047,439.054047,3294700
2013-09-26,439.589600,441.816803,437.937927,439.524536,439.524536,2517200
2013-09-27,437.847839,439.199188,436.091095,438.633636,438.633636,2515000
2013-09-30,434.974976,440.860870,434.589600,438.393402,438.393402,3441300
2013-10-01,440.565552,444.279266,440.465454,443.943939,443.943939,3366200
2013-10-02,441.806793,445.125122,439.349335,444.439453,444.439453,2987600
2013-10-03,444.444458,447.497498,436.486481,438.483490,438.483490,4229700
2013-10-04,437.937927,439.194183,435.435425,436.611603,436.611603,2713200
2013-10-07,434.159149,437.432434,432.487488,433.303314,433.303314,2584600
2013-10-08,433.093079,433.423431,426.241241,427.262268,427.262268,3883500
2013-10-09,428.568573,431.756744,421.911926,428.358368,428.358368,5297200
2013-10-10,432.352356,434.849854,430.535522,434.554565,434.554565,4506000
2013-10-11,433.448456,437.177185,433.083069,436.431427,436.431427,2814900
2013-10-14,433.763763,438.563568,433.128143,438.493500,438.493500,2484700
2013-10-15,438.318329,443.258270,437.437439,441.446442,441.446442,3180600
2013-10-16,443.378387,449.614624,442.447449,449.464478,449.464478,4011100
2013-10-17,446.941956,448.898895,443.308319,444.839844,444.839844,8504600
2013-10-18,488.778778,508.238251,487.487488,506.211212,506.211212,23109600
2013-10-21,506.236237,510.010010,500.275269,502.152161,502.152161,7249300
2013-10-22,503.002991,507.007019,498.393402,504.003998,504.003998,4412700
2013-10-23,501.001007,517.892883,500.815826,516.221191,516.221191,5321000
2013-10-24,516.451477,520.805786,512.912903,513.288269,513.288269,4180000
2013-10-25,514.924927,514.924927,505.875885,508.108093,508.108093,4056900
2013-10-28,508.108093,512.227234,507.002014,508.007996,508.007996,2315000
2013-10-29,510.060059,518.989014,507.257263,518.638611,518.638611,3206700
2013-10-30,519.234253,519.274292,513.513489,515.725708,515.725708,2645500
2013-10-31,514.979980,521.281311,512.497498,515.805786,515.805786,3276700
2013-11-01,516.411438,518.518494,513.063049,514.034058,514.034058,2564000
2013-11-04,516.266296,516.701721,511.526520,513.568542,513.568542,2275300
2013-11-05,510.685699,516.341370,509.219208,511.271271,511.271271,2360400
2013-11-06,513.313293,514.014038,508.193207,511.886902,511.886902,1823900
2013-11-07,511.816803,512.477478,504.324310,504.479492,504.479492,3355800
2013-11-08,504.879883,509.759766,504.754761,508.523529,508.523529,2579000
2013-11-11,505.260254,508.473480,504.504517,505.800812,505.800812,2222900
2013-11-12,504.354340,509.289276,503.002991,506.396393,506.396393,2433700
2013-11-13,503.878876,516.941956,503.753754,516.751770,516.751770,3155600
2013-11-14,517.477478,520.395386,515.690674,518.133118,518.133118,2331000
2013-11-15,517.952942,519.519531,515.670654,517.297302,517.297302,2550000
2013-11-18,518.393372,524.894897,515.135132,516.291321,516.291321,3515800
2013-11-19,516.376404,517.892883,512.037048,513.113098,513.113098,2260900
2013-11-20,515.490479,517.197205,510.690704,511.666656,511.666656,1925400
2013-11-21,514.014038,519.674683,513.513489,517.552551,517.552551,2181400
2013-11-22,517.227234,518.603577,515.125122,516.461487,516.461487,2505800
2013-11-25,519.099121,527.122131,518.028015,523.488464,523.488464,3222700
2013-11-26,524.824829,531.281311,521.992004,529.734741,529.734741,4568000
2013-11-27,531.546570,534.534546,530.530518,532.087097,532.087097,2244900
2013-11-29,531.611633,533.843872,530.255249,530.325317,530.325317,2383200
2013-12-02,532.287292,533.708679,525.905884,527.767761,527.767761,2743600
2013-12-03,526.000977,532.252258,525.035034,527.157166,527.157166,3348800
2013-12-04,526.211182,532.522522,525.525513,529.619629,529.619629,2380800
2013-12-05,529.129150,530.360352,526.071045,529.199219,529.199219,2265100
2013-12-06,535.430420,535.535522,530.570557,535.470459,535.470459,2854700
2013-12-09,536.031006,541.696716,534.544556,539.609619,539.609619,2962200
2013-12-10,538.613586,546.701721,538.363342,542.872864,542.872864,3704000
2013-12-11,544.244263,546.206177,538.123108,539.184204,539.184204,3420100
2013-12-12,540.325317,542.012024,535.035034,535.515503,535.515503,3189800
2013-12-13,538.238220,538.683655,529.474487,530.925903,530.925903,4320400
2013-12-16,532.532532,537.882874,531.536560,537.027039,537.027039,3200700
2013-12-17,536.946960,540.920898,534.724731,535.465454,535.465454,3068300
2013-12-18,536.461487,543.018005,530.050049,542.917908,542.917908,4416100
2013-12-19,540.925903,546.541565,540.080078,543.653625,543.653625,3328000
2013-12-20,544.694702,551.136108,544.544556,550.860840,550.860840,6516600
2013-12-23,554.474487,558.458435,553.113098,558.108093,558.108093,3439700
2013-12-24,558.043030,558.178162,554.604614,556.476501,556.476501,1466900
2013-12-26,557.562561,560.060059,554.899902,559.289307,559.289307,2672900
2013-12-27,560.560547,560.700684,557.027039,559.759766,559.759766,3136200
2013-12-30,560.730713,560.810791,555.065063,555.285278,555.285278,2469700
