Date,Open,High,Low,Close,Adj Close,Volume
2013-03-12,413.803955,414.391754,410.297119,412.259735,412.259735,4031600
2013-03-13,412.404205,413.794006,409.619659,411.114044,411.114044,3294800
2013-03-14,411.950897,411.950897,407.168823,409.236084,409.236084,3314700
2013-03-15,407.721771,408.618408,405.151398,405.629608,405.629608,6222500
2013-03-18,400.996979,404.862488,399.238556,402.386749,402.386749,3690300
2013-03-19,404.105316,408.095367,401.719269,404.145172,404.145172,4212000
2013-03-20,406.889862,407.228607,404.204926,405.833832,405.833832,2938500
2013-03-21,404.130219,406.934723,403.412903,404.115265,404.115265,2966200
2013-03-22,405.848785,406.097839,403.308289,403.642059,403.642059,2987400
2013-03-25,404.688141,408.085388,401.903564,403.308289,403.308289,3436800
2013-03-26,405.231110,405.480164,402.386749,404.693115,404.693115,2392600
2013-03-27,401.833832,401.993225,399.168823,399.831329,399.831329,4342500
2013-03-28,400.493866,401.181274,395.168823,395.612152,395.612152,4592600
2013-04-01,396.020630,399.627106,395.143890,399.099091,399.099091,3628100
2013-04-02,400.767822,405.893616,400.498840,405.001953,405.001953,4098200
2013-04-03,405.211182,405.579773,398.840057,401.594727,401.594727,3489900
2013-04-04,400.623352,401.370575,394.172546,396.050507,396.050507,4913400
2013-04-05,391.562317,392.025604,386.750366,390.062958,390.062958,6893400
2013-04-08,387.920990,388.319489,382.765289,385.978271,385.978271,5685300
2013-04-09,386.302032,390.411652,385.111511,387.373016,387.373016,4330700
2013-04-10,389.998199,394.695587,386.551117,393.614624,393.614624,3971900
2013-04-11,394.959595,395.069183,390.566071,393.719238,393.719238,4072500
2013-04-12,394.516266,394.571045,390.003174,393.549866,393.549866,3285500
2013-04-15,391.507538,397.011902,387.059204,389.505035,389.505035,4924500
2013-04-16,391.826324,396.513763,390.496338,395.203674,395.203674,3496900
2013-04-17,391.906036,393.943390,387.597198,389.818878,389.818878,4089100
2013-04-18,391.208649,391.432800,379.208618,381.524963,381.524963,6669800
2013-04-19,383.143890,400.219879,381.699310,398.441528,398.441528,11649800
2013-04-22,398.805176,400.478912,386.052979,398.561096,398.561096,5788300
2013-04-23,399.004425,406.227356,398.685638,402.441559,402.441559,4601600
2013-04-24,402.546173,407.472687,402.491364,405.206177,405.206177,3671800
2013-04-25,406.600952,406.710541,402.307068,403.039307,403.039307,3999200
2013-04-26,402.292114,402.361847,396.802673,399.213654,399.213654,4993900
2013-04-29,400.125244,409.813904,400.000702,408.000702,408.000702,4618800
2013-04-30,407.970825,412.274689,407.313293,410.745422,410.745422,4630600
2013-05-01,410.092865,410.820160,406.655762,408.683167,408.683167,2920800
2013-05-02,408.518768,415.716797,407.995728,413.256012,413.256012,4051600
2013-05-03,416.917297,421.818909,416.439087,421.280945,421.280945,5044000
2013-05-06,422.546204,429.315826,422.546204,429.166382,429.166382,4298500
2013-05-07,429.893646,430.322052,423.746704,427.014435,427.014435,3932600
2013-05-08,426.899872,435.308350,424.862518,435.183838,435.183838,4955000
2013-05-09,433.794037,438.187561,432.493896,434.112823,434.112823,4417600
2013-05-10,436.020691,438.625916,434.451569,438.471497,438.471497,3809500
2013-05-13,437.804016,439.587311,435.059296,437.126556,437.126556,2907700
2013-05-14,437.111603,442.685699,436.932281,441.893677,441.893677,3170300
2013-05-15,446.078003,456.479004,445.340759,456.234924,456.234924,8001600
2013-05-16,457.784119,458.272278,449.320831,450.247375,450.247375,6443200
2013-05-17,453.310883,455.039398,448.578613,452.892456,452.892456,5604800
2013-05-20,450.810242,458.581116,450.810242,452.568665,452.568665,4562300
2013-05-21,452.314606,454.127808,447.129059,451.791565,451.791565,3980700
2013-05-22,449.594818,452.957214,441.784088,443.049347,443.049347,5140300
2013-05-23,436.862518,443.318329,435.368134,439.746735,439.746735,4567200
2013-05-24,435.995789,437.769135,433.878723,435.029388,435.029388,4610700
2013-05-28,440.100403,444.404266,438.556183,438.989563,438.989563,4531900
2013-05-29,436.219940,437.355682,430.531250,432.533752,432.533752,4041800
2013-05-30,433.335754,437.808990,431.587311,433.754181,433.754181,4257200
2013-05-31,432.439117,436.862518,432.140228,433.983337,433.983337,3953500
2013-06-03,434.869995,435.353180,425.913574,432.195038,432.195038,4969900
2013-06-04,432.304626,433.669495,425.440338,427.945953,427.945953,3751100
2013-06-05,429.644592,433.101624,426.964630,428.244843,428.244843,4229300
2013-06-06,430.536255,431.547455,422.028137,430.705597,430.705597,5177400
2013-06-07,433.584808,438.356934,431.044342,438.222443,438.222443,5369200
2013-06-10,439.403015,443.836395,438.401764,443.447845,443.447845,4693000
2013-06-11,440.334503,441.843872,438.117828,438.262299,438.262299,3528300
2013-06-12,441.076721,441.345734,433.201263,434.361908,434.361908,4426100
2013-06-13,432.867493,438.187561,431.134003,436.862518,436.862518,4155200
2013-06-14,438.406738,440.698151,435.432892,435.886200,435.886200,4506700
2013-06-17,437.973358,443.054321,437.500153,441.470276,441.470276,4308500
2013-06-18,442.665771,448.817719,442.516327,448.628418,448.628418,4350000
2013-06-19,449.002045,453.719360,447.074249,448.658325,448.658325,5853600
2013-06-20,445.325806,448.817719,440.005737,440.718079,440.718079,6769200
2013-06-21,442.511353,443.278473,434.904877,438.820190,438.820190,7994300
2013-06-24,434.312103,436.523804,430.013214,433.270996,433.270996,6056300
2013-06-25,436.992035,438.197540,430.640839,431.482697,431.482697,5125500
2013-06-26,435.243591,437.360657,433.659546,435.193787,435.193787,3676400
2013-06-27,437.759186,440.693176,436.688171,436.897400,436.897400,3867300
2013-06-28,435.816467,439.273499,435.462769,438.541229,438.541229,4716100
2013-07-01,441.569885,444.374390,440.847595,442.282227,442.282227,3462400
2013-07-02,443.437897,443.836395,436.997040,439.507629,439.507629,3797000
2013-07-03,438.307129,442.924805,437.609741,441.559937,441.559937,2101700
2013-07-05,443.343231,446.033173,442.013214,445.076752,445.076752,3416500
2013-07-08,447.926056,451.442871,446.865051,450.855072,450.855072,3953700
2013-07-09,453.799042,454.770416,447.313354,450.929810,450.929810,3973500
2013-07-10,450.038147,453.868774,448.508881,451.303406,451.303406,3429500
2013-07-11,454.795319,458.685730,452.563690,458.401794,458.401794,5187700
2013-07-12,458.282257,459.776642,455.911133,459.776642,459.776642,5155600
2013-07-15,460.424225,462.267303,456.469055,460.618500,460.618500,3935600
2013-07-16,461.833923,462.252350,455.243622,458.087982,458.087982,3980700
2013-07-17,458.780365,461.699432,456.439148,457.559967,457.559967,3023400
2013-07-18,457.779144,458.282257,449.908630,453.639648,453.639648,7296100
2013-07-19,441.649597,449.789093,436.170135,446.625946,446.625946,14773700
2013-07-22,449.315857,454.630920,446.825195,453.649597,453.649597,5828100
2013-07-23,453.649597,454.795319,448.105377,450.212494,450.212494,4106600
2013-07-24,451.936035,453.450348,448.668274,449.764160,449.764160,4172500
2013-07-25,445.266022,446.750458,441.385590,442.192566,442.192566,6024600
2013-07-26,441.838867,443.333282,439.353210,441.021942,441.021942,3568600
2013-07-29,440.797791,445.739258,438.800262,439.487701,439.487701,3797800
2013-07-30,441.076721,446.132782,438.790314,443.796539,443.796539,3524300
2013-07-31,444.827667,446.581116,441.435394,442.217468,442.217468,4363200
2013-08-01,445.828918,450.586090,445.828918,450.421722,450.421722,4292700
2013-08-02,450.033173,451.806519,448.728058,451.592316,451.592316,3440600
2013-08-05,451.004517,451.069275,447.921082,450.810242,450.810242,2629100
2013-08-06,450.655823,453.156464,446.192566,446.610992,446.610992,3023400
2013-08-07,445.848846,447.547485,442.884949,443.662048,443.662048,2768600
2013-08-08,446.072998,446.247345,440.992065,444.663300,444.663300,2987000
2013-08-09,443.617218,446.087952,443.338257,443.542480,443.542480,2657200
2013-08-12,441.794037,441.843872,439.178864,441.101654,441.101654,2764200
2013-08-13,441.759186,442.591064,436.464020,438.979584,438.979584,2850200
2013-08-14,437.544983,438.471497,431.960907,433.280945,433.280945,4179900
2013-08-15,430.605988,430.845093,427.398010,428.224915,428.224915,3752300
2013-08-16,429.031891,429.609711,426.670746,426.855042,426.855042,3362700
2013-08-19,427.253540,434.371857,427.124023,431.208710,431.208710,3635300
2013-08-20,432.553680,434.426666,430.157654,431.094147,431.094147,2475100
2013-08-21,433.699402,436.817688,431.632141,433.041840,433.041840,3527700
2013-08-22,434.720551,435.741730,433.500122,435.223663,435.223663,1746200
2013-08-23,437.275970,437.360657,433.251068,433.480225,433.480225,2162200
2013-08-26,433.375610,435.816467,431.407990,431.577332,431.577332,2112800
2013-08-27,428.204987,430.252319,422.366852,423.487671,423.487671,3481100
2013-08-28,423.537476,426.107849,422.302094,422.690643,422.690643,2669700
2013-08-29,422.949677,428.583557,422.710571,426.117798,426.117798,2968000
2013-08-30,426.282196,427.417938,421.201233,421.868744,421.868744,3737100
2013-09-03,425.584808,431.477722,425.380554,428.583557,428.583557,4110400
2013-09-04,428.568634,435.119080,425.988281,434.187561,434.187561,4097600
2013-09-05,435.119080,438.297150,434.177582,438.137756,438.137756,2592100
2013-09-06,439.572388,440.239868,435.238617,438.147705,438.147705,3134800
2013-09-09,440.214966,443.213715,439.562408,442.366913,442.366913,2478300
2013-09-10,443.348236,444.334534,440.349457,442.675751,442.675751,2584700
2013-09-11,442.610992,446.810242,441.385590,446.421692,446.421692,3233200
2013-09-12,447.024445,447.273499,443.343231,444.862549,444.862549,2199100
2013-09-13,445.579865,446.167664,440.767883,442.875000,442.875000,2660600
2013-09-16,446.426697,446.825195,440.782837,442.222443,442.222443,2682900
2013-09-17,442.048096,442.536255,438.855072,441.400513,441.400513,2528200
2013-09-18,441.520081,450.297180,439.886200,449.973389,449.973389,3883800
2013-09-19,451.303406,451.303406,446.028168,447.517609,447.517609,3207600
2013-09-20,447.517609,450.376892,446.137756,449.868774,449.868774,8723000
2013-09-23,446.401764,449.111633,440.947235,441.594788,441.594788,3568000
2013-09-24,441.594788,443.388062,439.054321,441.764160,441.764160,2984600
2013-09-25,441.619690,441.619690,436.165161,436.977112,436.977112,3310200
2013-09-26,437.510101,439.726807,435.866272,437.445343,437.445343,2529200
2013-09-27,435.776611,437.121552,434.028168,436.558685,436.558685,2527000
2013-09-30,432.917328,438.775360,432.533752,436.319580,436.319580,3457600
2013-10-01,438.481476,442.177612,438.381836,441.843872,441.843872,3382100
2013-10-02,439.716827,443.019440,437.270996,442.337006,442.337006,3001700
2013-10-03,442.341980,445.380615,434.421692,436.409241,436.409241,4249800
2013-10-04,435.866272,437.116577,433.375610,434.546204,434.546204,2726100
2013-10-07,432.105377,435.363159,430.441589,431.253571,431.253571,2596800
2013-10-08,431.044342,431.373108,424.224915,425.241089,425.241089,3901800
2013-10-09,426.541229,429.714325,419.916046,426.332001,426.332001,5322400
2013-10-10,430.307098,432.792786,428.498871,432.498901,432.498901,4527400
2013-10-11,431.398010,435.109100,431.034363,434.366882,434.366882,2828300
2013-10-14,431.711853,436.488922,431.079224,436.419189,436.419189,2496400
2013-10-15,436.244843,441.161407,435.368134,439.358185,439.358185,3195600
2013-10-16,441.280975,447.487701,440.354431,447.338257,447.338257,4030200
2013-10-17,444.827667,446.775391,441.211243,442.735504,442.735504,8545000
2013-10-18,486.466614,505.834015,485.181427,503.816559,503.816559,23219400
2013-10-21,503.841492,507.597412,497.908722,499.776703,499.776703,7283700
2013-10-22,500.623535,504.608612,496.035736,501.619812,501.619812,4433700
2013-10-23,498.631012,515.442993,498.446686,513.779236,513.779236,5346300
2013-10-24,514.008362,518.342102,510.486572,510.860168,510.860168,4199700
2013-10-25,512.489075,512.489075,503.482819,505.704498,505.704498,4076100
2013-10-28,505.704498,509.804138,504.603607,505.604858,505.604858,2326000
2013-10-29,507.647217,516.533875,504.857666,516.185181,516.185181,3222000
2013-10-30,516.778015,516.817810,511.084320,513.286072,513.286072,2658000
2013-10-31,512.543884,518.815369,510.073120,513.365784,513.365784,3292200
2013-11-01,513.968506,516.065674,510.636017,511.602386,511.602386,2576100
2013-11-04,513.824036,514.257446,509.106750,511.139130,511.139130,2286000
2013-11-05,508.269867,513.898804,506.810364,508.852692,508.852692,2371500
2013-11-06,510.885071,511.582458,505.789185,509.465393,509.465393,1832600
2013-11-07,509.395660,510.053192,501.938599,502.093018,502.093018,3371700
2013-11-08,502.491547,507.348328,502.367004,506.117950,506.117950,2591100
2013-11-11,502.870117,506.068146,502.117950,503.408112,503.408112,2233500
2013-11-12,501.968506,506.880096,500.623535,504.000885,504.000885,2445200
2013-11-13,501.495270,514.496521,501.370728,514.307251,514.307251,3170500
2013-11-14,515.029541,517.933655,513.251221,515.682068,515.682068,2342100
2013-11-15,515.502747,517.061951,513.231262,514.850220,514.850220,2562100
2013-11-18,515.941101,522.411865,512.698303,513.848938,513.848938,3532500
2013-11-19,513.933655,515.442993,509.614838,510.685822,510.685822,2271600
2013-11-20,513.051941,514.750610,508.274872,509.246216,509.246216,1934500
2013-11-21,511.582458,517.216370,511.084320,515.104248,515.104248,2191700
2013-11-22,514.780457,516.150330,512.688293,514.018311,514.018311,2517700
2013-11-25,516.643494,524.628540,515.577515,521.012146,521.012146,3238000
2013-11-26,522.342163,528.768066,519.522705,527.228821,527.228821,4589600
2013-11-27,529.032043,532.005920,528.020874,529.570068,529.570068,2255500
2013-11-29,529.096802,531.318481,527.746887,527.816589,527.816589,2394400
2013-12-02,529.769287,531.184021,523.418091,525.271179,525.271179,2756600
2013-12-03,523.512756,529.734436,522.551331,524.663452,524.663452,3364700
2013-12-04,523.721985,530.003418,523.039490,527.114258,527.114258,2392000
2013-12-05,526.626099,527.851501,523.582458,526.695801,526.695801,2275800
2013-12-06,532.897583,533.002197,528.060669,532.937439,532.937439,2868200
2013-12-09,533.495300,539.134216,532.015869,537.057007,537.057007,2976200
2013-12-10,536.065674,544.115540,535.816650,540.304810,540.304810,3721600
2013-12-11,541.669678,543.622375,535.577515,536.633545,536.633545,3436400
2013-12-12,537.769287,539.447998,532.504028,532.982239,532.982239,3204800
2013-12-13,535.692078,536.135437,526.969788,528.414368,528.414368,4340900
2013-12-16,530.013367,535.338440,529.022095,534.486633,534.486633,3216000
2013-12-17,534.406921,538.362061,532.195190,532.932434,532.932434,3082800
2013-12-18,533.923706,540.449280,527.542664,540.349609,540.349609,4437100
2013-12-19,538.367065,543.956116,537.525208,541.081909,541.081909,3343800
2013-12-20,542.117981,548.528992,541.968567,548.255005,548.255005,6547600
2013-12-23,551.851501,555.816650,550.496582,555.467957,555.467957,3456000
2013-12-24,555.403198,555.537720,551.981018,553.844055,553.844055,1473800
2013-12-26,554.924988,557.410706,552.274963,556.643555,556.643555,2685500
2013-12-27,557.908813,558.048279,554.392029,557.111816,557.111816,3151100
2013-12-30,558.078186,558.157898,552.439331,552.658508,552.658508,2481300
