Date,Open,High,Low,Close,Adj Close,Volume
2019-03-25,360.750000,362.510010,355.769989,356.839996,356.839996,1365600
2019-03-26,356.799988,358.720001,354.589996,356.029999,356.029999,1150200
2019-03-27,356.390015,360.260010,354.769989,355.510010,355.510010,1372200
2019-03-28,356.170013,358.609985,352.220001,352.869995,352.869995,834200
2019-03-29,352.119995,354.600006,345.670013,346.910004,346.910004,1410800
2019-04-01,349.809998,350.600006,343.700012,346.220001,346.220001,1153100
2019-04-02,346.750000,347.510010,344.359985,346.630005,346.630005,1233100
2019-04-03,348.660004,349.100006,343.149994,345.369995,345.369995,1195900
2019-04-04,346.250000,347.000000,343.950012,345.720001,345.720001,1214700
2019-04-05,345.790009,352.200012,344.989990,351.440002,351.440002,1247200
2019-04-08,350.529999,355.119995,350.529999,354.140015,354.140015,830900
2019-04-09,351.890015,355.559998,350.540009,354.559998,354.559998,808800
2019-04-10,353.480011,355.470001,353.040009,354.350006,354.350006,574000
2019-04-11,356.350006,356.589996,353.250000,355.250000,355.250000,689100
2019-04-12,355.890015,356.950012,354.000000,356.049988,356.049988,734000
2019-04-15,356.589996,358.380005,355.519989,357.339996,357.339996,749600
2019-04-16,359.010010,359.670013,356.970001,358.049988,358.049988,472400
2019-04-17,360.000000,362.250000,358.510010,361.690002,361.690002,842100
2019-04-18,367.200012,367.200012,356.790009,359.369995,359.369995,640800
2019-04-22,358.540009,359.910004,356.459991,358.049988,358.049988,610300
2019-04-23,356.500000,361.320007,355.329987,358.630005,358.630005,762400
2019-04-24,358.040009,361.989990,355.279999,360.500000,360.500000,817100
2019-04-25,357.910004,368.779999,357.320007,366.760010,366.760010,1190900
2019-04-26,368.190002,370.329987,364.690002,370.149994,370.149994,782400
2019-04-29,370.000000,371.630005,368.579987,370.970001,370.970001,924500
2019-04-30,371.440002,375.000000,368.369995,371.190002,371.190002,1322600
2019-05-01,373.130005,378.359985,370.720001,371.040009,371.040009,1079100
2019-05-02,370.970001,371.630005,365.899994,370.410004,370.410004,678200
2019-05-03,372.119995,377.929993,369.609985,377.679993,377.679993,917100
2019-05-06,372.670013,376.970001,372.579987,376.279999,376.279999,1059900
2019-05-07,372.309998,375.309998,368.200012,374.739990,374.739990,896700
2019-05-08,374.640015,375.510010,370.140015,372.320007,372.320007,787700
2019-05-09,369.459991,375.320007,368.329987,374.329987,374.329987,733600
2019-05-10,372.369995,378.299988,369.799988,377.890015,377.890015,594000
2019-05-13,372.309998,375.540009,367.350006,368.890015,368.890015,1094700
2019-05-14,369.380005,376.660004,368.779999,373.149994,373.149994,846500
2019-05-15,370.380005,378.339996,368.920013,377.190002,377.190002,935200
2019-05-16,378.190002,384.000000,378.190002,382.190002,382.190002,981800
2019-05-17,381.829987,387.410004,381.829987,386.410004,386.410004,882500
2019-05-20,378.429993,380.000000,375.260010,377.290009,377.290009,1140000
2019-05-21,379.390015,381.980011,376.459991,379.209991,379.209991,889400
2019-05-22,378.209991,380.510010,376.820007,378.079987,378.079987,665400
2019-05-23,375.429993,377.459991,374.000000,375.510010,375.510010,867000
2019-05-24,376.739990,379.140015,374.890015,375.000000,375.000000,597200
2019-05-28,377.200012,379.920013,375.079987,377.000000,377.000000,1748800
2019-05-29,375.980011,376.609985,372.230011,375.369995,375.369995,1326600
2019-05-30,377.690002,379.929993,375.739990,379.220001,379.220001,995700
2019-05-31,376.160004,380.000000,373.040009,376.799988,376.799988,1552000
2019-06-03,376.339996,379.549988,375.239990,377.649994,377.649994,1315400
2019-06-04,380.940002,392.140015,378.510010,387.670013,387.670013,1748100
2019-06-05,389.059998,389.290009,382.410004,384.959991,384.959991,1573000
2019-06-06,384.619995,388.529999,384.010010,387.309998,387.309998,479900
2019-06-07,389.000000,395.299988,387.579987,394.040009,394.040009,1310800
2019-06-10,395.890015,396.890015,392.989990,395.410004,395.410004,890600
2019-06-11,397.679993,397.679993,388.630005,391.640015,391.640015,918500
2019-06-12,391.429993,394.500000,389.940002,391.160004,391.160004,1188000
2019-06-13,392.910004,392.910004,387.899994,389.720001,389.720001,657400
2019-06-14,390.320007,393.209991,386.660004,392.079987,392.079987,730500
2019-06-17,393.739990,397.179993,391.299988,394.070007,394.070007,623100
2019-06-18,397.519989,400.000000,394.670013,395.209991,395.209991,1011800
2019-06-19,395.630005,398.170013,394.359985,397.750000,397.750000,572600
2019-06-20,400.480011,401.380005,395.880005,398.769989,398.769989,792100
2019-06-21,400.000000,400.000000,390.670013,394.690002,394.690002,1402200
2019-06-24,396.010010,396.010010,391.010010,392.440002,392.440002,801700
2019-06-25,391.179993,392.470001,385.750000,390.910004,390.910004,1121800
2019-06-26,391.489990,392.510010,385.239990,388.239990,388.239990,949700
2019-06-27,389.750000,393.630005,387.170013,391.410004,391.410004,552900
2019-06-28,391.459991,398.000000,390.380005,395.179993,395.179993,1454500
2019-07-01,400.000000,400.000000,396.019989,397.739990,397.739990,743000
2019-07-02,398.839996,399.809998,395.299988,398.690002,398.690002,673100
2019-07-03,399.579987,401.970001,397.679993,400.000000,400.000000,406400
2019-07-05,397.369995,402.619995,397.369995,401.679993,401.679993,648100
2019-07-08,399.869995,402.470001,398.100006,399.399994,399.399994,472000
2019-07-09,397.920013,402.670013,396.690002,401.220001,401.220001,472600
2019-07-10,404.339996,408.260010,402.700012,407.209991,407.209991,1335800
2019-07-11,408.149994,411.700012,406.989990,410.250000,410.250000,1193600
2019-07-12,411.500000,415.140015,409.019989,414.309998,414.309998,1229800
2019-07-15,415.730011,415.730011,411.679993,414.630005,414.630005,1142800
2019-07-16,414.790009,417.029999,412.779999,414.839996,414.839996,637900
2019-07-17,416.589996,416.950012,412.549988,414.559998,414.559998,460000
2019-07-18,410.119995,416.049988,409.140015,415.619995,415.619995,696800
2019-07-19,417.130005,417.130005,409.380005,409.790009,409.790009,820500
2019-07-22,411.000000,411.720001,405.760010,407.859985,407.859985,666400
2019-07-23,408.970001,409.600006,403.929993,407.529999,407.529999,764000
2019-07-24,407.450012,410.980011,404.820007,409.670013,409.670013,634600
2019-07-25,407.220001,410.320007,404.579987,405.500000,405.500000,1233500
2019-07-26,380.000000,399.130005,375.059998,398.790009,398.790009,1608400
2019-07-29,398.779999,402.890015,390.779999,393.649994,393.649994,738000
2019-07-30,391.670013,398.619995,391.220001,394.559998,394.559998,916400
2019-07-31,390.980011,390.989990,382.000000,385.380005,385.380005,2197100
2019-08-01,385.940002,392.850006,383.980011,384.380005,384.380005,1389600
2019-08-02,383.119995,385.750000,379.750000,384.660004,384.660004,1382400
2019-08-05,380.070007,382.799988,376.149994,379.739990,379.739990,1796300
2019-08-06,379.769989,384.790009,377.480011,381.989990,381.989990,1168600
2019-08-07,376.399994,377.390015,371.299988,375.029999,375.029999,2552400
2019-08-08,378.190002,382.369995,370.779999,380.029999,380.029999,2052200
2019-08-09,380.510010,382.070007,376.600006,379.570007,379.570007,1207300
2019-08-12,378.799988,379.790009,372.899994,376.279999,376.279999,1412600
2019-08-13,376.230011,384.079987,374.079987,379.369995,379.369995,1745400
2019-08-14,375.859985,377.880005,372.579987,375.179993,375.179993,1442200
2019-08-15,376.190002,381.899994,375.440002,380.940002,380.940002,1320200
2019-08-16,385.329987,386.390015,381.940002,384.510010,384.510010,1188100
2019-08-19,388.179993,391.559998,387.049988,388.420013,388.420013,1219900
2019-08-20,386.950012,394.200012,386.769989,391.549988,391.549988,1098200
2019-08-21,393.299988,393.940002,389.519989,392.130005,392.130005,973300
2019-08-22,392.679993,393.130005,387.429993,391.040009,391.040009,891900
2019-08-23,388.839996,395.369995,384.429993,385.510010,385.510010,1333600
2019-08-26,387.850006,399.070007,387.130005,396.779999,396.779999,1460500
2019-08-27,397.429993,401.399994,395.040009,398.489990,398.489990,1014000
2019-08-28,398.649994,403.500000,395.670013,400.500000,400.500000,806400
2019-08-29,404.619995,410.089996,403.070007,407.239990,407.239990,892000
2019-08-30,409.119995,412.500000,407.429993,409.589996,409.589996,1140400
2019-09-03,408.079987,413.160004,407.260010,411.809998,411.809998,977800
2019-09-04,415.380005,420.260010,415.220001,419.470001,419.470001,1492900
2019-09-05,424.750000,428.950012,420.309998,422.049988,422.049988,1113400
2019-09-06,423.119995,427.899994,421.019989,425.720001,425.720001,973800
2019-09-09,425.989990,427.109985,417.660004,419.779999,419.779999,1192900
2019-09-10,418.970001,423.920013,415.970001,421.339996,421.339996,1367700
2019-09-11,420.179993,425.790009,420.179993,425.000000,425.000000,751400
2019-09-12,427.670013,431.429993,423.549988,425.000000,425.000000,1233700
2019-09-13,425.059998,426.649994,421.910004,425.519989,425.519989,890800
2019-09-16,425.190002,427.000000,419.149994,423.250000,423.250000,908900
2019-09-17,423.309998,425.359985,419.049988,425.149994,425.149994,736600
2019-09-18,424.239990,425.709991,419.070007,425.420013,425.420013,808600
2019-09-19,426.779999,429.880005,425.100006,427.420013,427.420013,831500
2019-09-20,426.010010,427.290009,419.649994,420.350006,420.350006,2848400
2019-09-23,421.690002,423.510010,420.140015,421.510010,421.510010,1036800
2019-09-24,422.540009,424.589996,416.690002,417.529999,417.529999,1291000
2019-09-25,417.200012,418.570007,414.510010,416.660004,416.660004,1836900
2019-09-26,418.450012,418.750000,406.160004,411.000000,411.000000,2118300
2019-09-27,411.829987,411.829987,401.839996,406.209991,406.209991,1255000
2019-09-30,408.209991,413.769989,406.890015,412.119995,412.119995,838400
2019-10-01,412.529999,415.480011,405.019989,405.600006,405.600006,1062300
2019-10-02,409.910004,412.920013,405.799988,410.750000,410.750000,1148800
2019-10-03,409.010010,416.959991,406.700012,416.670013,416.670013,798300
2019-10-04,422.170013,429.399994,420.899994,427.720001,427.720001,1074500
2019-10-07,425.529999,432.160004,425.290009,430.040009,430.040009,969800
2019-10-08,426.910004,430.940002,423.049988,428.070007,428.070007,1226000
2019-10-09,431.230011,431.510010,427.480011,429.279999,429.279999,624400
2019-10-10,428.970001,430.299988,424.880005,426.929993,426.929993,693800
2019-10-11,430.220001,430.720001,422.880005,423.160004,423.160004,1235400
2019-10-14,423.890015,424.690002,421.920013,422.959991,422.959991,690000
2019-10-15,423.600006,435.450012,422.790009,432.920013,432.920013,1282900
2019-10-16,432.850006,440.269989,430.260010,438.100006,438.100006,906000
2019-10-17,439.549988,445.000000,437.320007,441.929993,441.929993,723500
2019-10-18,443.790009,444.410004,439.600006,440.049988,440.049988,821700
2019-10-21,442.220001,444.989990,437.260010,438.160004,438.160004,746100
2019-10-22,437.040009,441.010010,435.869995,437.230011,437.230011,1081300
2019-10-23,436.250000,439.390015,434.119995,435.559998,435.559998,911700
2019-10-24,435.109985,439.049988,432.640015,435.070007,435.070007,1033100
2019-10-25,460.869995,469.570007,442.250000,462.190002,462.190002,2254100
2019-10-28,465.829987,470.309998,465.230011,467.089996,467.089996,1072600
2019-10-29,464.010010,468.989990,463.190002,464.070007,464.070007,1054100
2019-10-30,464.100006,469.309998,462.309998,468.779999,468.779999,1597300
2019-10-31,468.260010,469.450012,462.350006,467.859985,467.859985,1432000
2019-11-01,469.970001,478.070007,469.049988,476.480011,476.480011,1144300
2019-11-04,477.700012,479.179993,471.369995,473.500000,473.500000,1011700
2019-11-05,474.429993,474.429993,467.510010,473.250000,473.250000,1043600
2019-11-06,472.720001,472.720001,462.989990,469.029999,469.029999,1228400
2019-11-07,468.619995,471.070007,463.959991,468.440002,468.440002,1067600
2019-11-08,467.260010,474.299988,465.410004,469.750000,469.750000,770200
2019-11-11,468.399994,474.600006,467.019989,473.500000,473.500000,777600
2019-11-12,473.410004,475.640015,472.220001,474.070007,474.070007,693000
2019-11-13,474.329987,482.619995,472.440002,480.160004,480.160004,1288600
2019-11-14,479.269989,480.290009,476.510010,479.970001,479.970001,861000
2019-11-15,482.440002,485.989990,473.209991,475.600006,475.600006,842300
2019-11-18,475.170013,477.450012,471.440002,474.070007,474.070007,1150900
2019-11-19,475.910004,480.519989,471.279999,478.970001,478.970001,794800
2019-11-20,475.929993,483.549988,474.850006,479.079987,479.079987,1148200
2019-11-21,479.950012,479.950012,474.220001,474.649994,474.649994,674200
2019-11-22,474.510010,477.119995,467.459991,468.500000,468.500000,987700
2019-11-25,471.380005,472.910004,464.679993,466.059998,466.059998,1013500
2019-11-26,467.299988,469.470001,463.940002,467.309998,467.309998,1555400
2019-11-27,467.239990,475.869995,466.329987,473.779999,473.779999,703700
2019-11-29,473.440002,473.570007,468.869995,470.010010,470.010010,554900
2019-12-02,469.320007,473.200012,467.420013,470.329987,470.329987,898200
2019-12-03,469.820007,470.510010,465.390015,469.859985,469.859985,807700
2019-12-04,466.640015,469.279999,460.959991,462.049988,462.049988,1041000
2019-12-05,462.149994,468.269989,461.910004,467.269989,467.269989,1098200
2019-12-06,470.579987,473.220001,467.100006,467.850006,467.850006,848400
2019-12-09,469.510010,475.500000,467.200012,468.660004,468.660004,842900
2019-12-10,467.100006,469.700012,460.470001,461.709991,461.709991,979900
2019-12-11,462.519989,467.320007,461.429993,465.869995,465.869995,884500
2019-12-12,466.700012,472.929993,464.880005,469.600006,469.600006,1013600
2019-12-13,467.279999,478.070007,465.850006,475.269989,475.269989,1258600
2019-12-16,477.869995,478.829987,468.059998,470.230011,470.230011,1341000
2019-12-17,471.029999,476.260010,469.230011,471.130005,471.130005,1494300
2019-12-18,472.640015,476.179993,466.140015,466.519989,466.519989,1081200
2019-12-19,466.519989,475.890015,466.200012,475.670013,475.670013,1063200
2019-12-20,479.959991,480.850006,473.489990,476.220001,476.220001,2831200
2019-12-23,476.720001,483.079987,475.459991,480.720001,480.720001,1225600
2019-12-24,482.220001,482.940002,480.260010,480.859985,480.859985,463700
2019-12-26,480.950012,487.179993,480.950012,485.730011,485.730011,752900
2019-12-27,487.519989,487.519989,481.890015,483.690002,483.690002,507500
2019-12-30,483.739990,484.929993,478.390015,483.079987,483.079987,702500
