Date,Open,High,Low,Close,Adj Close,Volume
2019-07-18,173.820007,175.339996,172.839996,174.970001,174.970001,421800
2019-07-19,175.089996,175.500000,173.169998,173.240005,173.240005,441400
2019-07-22,173.619995,174.460007,172.059998,172.149994,172.149994,461700
2019-07-23,174.000000,176.639999,172.649994,175.970001,175.970001,770200
2019-07-24,175.559998,178.440002,175.449997,178.100006,178.100006,693500
2019-07-25,175.369995,175.369995,169.000000,171.770004,171.770004,2056200
2019-07-26,172.520004,172.610001,165.410004,166.529999,166.529999,1476000
2019-07-29,165.899994,168.259995,164.970001,167.300003,167.300003,1105200
2019-07-30,166.029999,170.669998,164.240005,170.619995,170.619995,775400
2019-07-31,170.770004,170.770004,164.479996,167.520004,167.520004,1465800
2019-08-01,168.009995,168.940002,165.139999,166.000000,166.000000,612000
2019-08-02,165.770004,166.889999,163.809998,164.770004,164.770004,587000
2019-08-05,162.910004,164.160004,156.850006,159.770004,159.770004,1058600
2019-08-06,160.500000,161.770004,157.529999,161.649994,161.649994,762000
2019-08-07,160.320007,162.110001,157.979996,161.929993,161.929993,573700
2019-08-08,162.600006,164.729996,162.309998,164.440002,164.440002,573200
2019-08-09,164.440002,165.449997,163.179993,164.940002,164.940002,477600
2019-08-12,164.289993,165.339996,163.130005,163.919998,163.919998,422000
2019-08-13,164.750000,166.729996,164.139999,166.199997,166.199997,455300
2019-08-14,164.809998,165.240005,163.190002,163.630005,163.630005,566200
2019-08-15,163.830002,164.350006,162.690002,163.630005,163.630005,427000
2019-08-16,164.419998,166.660004,164.130005,166.149994,166.149994,617200
2019-08-19,167.520004,169.089996,166.979996,168.619995,168.619995,450900
2019-08-20,169.029999,169.970001,166.779999,167.009995,167.009995,509600
2019-08-21,168.039993,169.429993,167.669998,168.580002,168.580002,489000
2019-08-22,169.029999,169.119995,167.160004,167.940002,167.940002,414600
2019-08-23,168.270004,169.580002,165.039993,165.860001,165.860001,633200
2019-08-26,166.770004,167.339996,164.520004,165.220001,165.220001,470300
2019-08-27,165.910004,166.529999,163.050003,163.929993,163.929993,622600
2019-08-28,163.350006,164.600006,162.320007,164.220001,164.220001,446100
2019-08-29,165.830002,168.240005,165.350006,167.850006,167.850006,364100
2019-08-30,168.580002,170.240005,167.270004,167.559998,167.559998,682000
2019-09-03,166.119995,168.759995,165.779999,167.589996,167.589996,524400
2019-09-04,168.589996,169.330002,166.309998,168.190002,168.190002,304700
2019-09-05,170.020004,170.600006,168.889999,170.490005,170.490005,671500
2019-09-06,170.509995,174.740005,169.690002,172.929993,172.929993,729700
2019-09-09,173.789993,173.940002,169.169998,172.479996,172.479996,605800
2019-09-10,172.259995,174.750000,171.009995,174.119995,174.119995,482200
2019-09-11,174.000000,174.240005,170.990005,174.160004,174.160004,476300
2019-09-12,175.089996,175.899994,172.679993,172.800003,172.800003,418800
2019-09-13,172.919998,174.419998,171.729996,172.320007,172.320007,513100
2019-09-16,171.389999,173.289993,170.940002,172.750000,172.750000,337900
2019-09-17,172.660004,172.679993,170.919998,171.380005,171.380005,356200
2019-09-18,171.330002,171.800003,170.279999,171.250000,171.250000,401400
2019-09-19,172.000000,172.750000,171.050003,171.110001,171.110001,471800
2019-09-20,171.169998,173.800003,170.910004,172.690002,172.690002,722000
2019-09-23,171.850006,172.320007,170.309998,172.080002,172.080002,1073000
2019-09-24,172.770004,173.669998,169.470001,170.429993,170.429993,562100
2019-09-25,169.869995,169.869995,167.649994,167.949997,167.949997,633400
2019-09-26,168.470001,168.770004,165.360001,167.000000,167.000000,519900
2019-09-27,167.839996,168.119995,164.179993,165.429993,165.429993,497300
2019-09-30,165.630005,168.789993,165.509995,168.000000,168.000000,436700
2019-10-01,168.009995,171.139999,167.630005,167.960007,167.960007,567200
2019-10-02,166.619995,166.649994,164.160004,164.440002,164.440002,567000
2019-10-03,164.330002,164.990005,161.009995,164.429993,164.429993,1087100
2019-10-04,164.660004,167.229996,164.660004,167.149994,167.149994,496400
2019-10-07,166.410004,169.089996,165.490005,166.979996,166.979996,515000
2019-10-08,165.910004,165.910004,163.279999,163.479996,163.479996,406200
2019-10-09,164.350006,166.509995,163.509995,165.360001,165.360001,288100
2019-10-10,164.940002,166.289993,164.119995,164.500000,164.500000,512100
2019-10-11,165.899994,167.919998,165.639999,165.759995,165.759995,508400
2019-10-14,165.630005,167.210007,165.300003,165.449997,165.449997,373900
2019-10-15,166.720001,168.410004,165.429993,167.779999,167.779999,339900
2019-10-16,168.149994,170.300003,167.779999,169.979996,169.979996,537100
2019-10-17,170.419998,172.020004,170.080002,170.500000,170.500000,429800
2019-10-18,170.259995,170.460007,165.800003,167.460007,167.460007,691900
2019-10-21,167.919998,169.259995,166.570007,168.039993,168.039993,654600
2019-10-22,168.490005,170.580002,167.410004,167.619995,167.619995,593600
2019-10-23,167.330002,169.460007,167.199997,169.050003,169.050003,451300
2019-10-24,167.539993,167.539993,160.020004,164.259995,164.259995,1594500
2019-10-25,164.009995,166.360001,163.779999,165.690002,165.690002,554400
2019-10-28,166.029999,166.500000,163.660004,163.820007,163.820007,565800
2019-10-29,163.960007,165.720001,163.600006,165.089996,165.089996,337900
2019-10-30,165.380005,166.500000,164.539993,166.279999,166.279999,322800
2019-10-31,165.889999,166.690002,164.080002,164.770004,164.770004,430100
2019-11-01,165.789993,167.669998,165.479996,166.529999,166.529999,382900
2019-11-04,167.350006,167.350006,165.139999,166.039993,166.039993,345500
2019-11-05,166.100006,167.910004,164.309998,165.139999,165.139999,766900
2019-11-06,164.419998,165.270004,163.660004,165.270004,165.270004,542200
2019-11-07,166.309998,167.300003,165.009995,165.800003,165.800003,407500
2019-11-08,166.220001,168.570007,165.529999,168.410004,168.410004,497400
2019-11-11,167.039993,167.970001,165.429993,165.830002,165.830002,334400
2019-11-12,165.190002,166.729996,164.679993,166.119995,166.119995,586600
2019-11-13,166.029999,168.050003,165.860001,167.179993,167.179993,447300
2019-11-14,167.440002,169.479996,166.809998,169.399994,169.399994,658600
2019-11-15,169.820007,172.229996,168.889999,171.550003,171.550003,825800
2019-11-18,171.699997,171.979996,167.869995,168.429993,168.429993,848800
2019-11-19,168.880005,171.929993,167.169998,171.240005,171.240005,713700
2019-11-20,171.139999,172.000000,169.389999,170.869995,170.869995,539100
2019-11-21,170.550003,171.110001,168.710007,169.699997,169.699997,494300
2019-11-22,170.000000,171.750000,169.380005,169.759995,169.759995,538000
2019-11-25,170.369995,172.869995,169.350006,172.779999,172.779999,926200
2019-11-26,173.029999,174.369995,172.500000,173.470001,173.470001,615100
2019-11-27,174.160004,174.350006,172.550003,173.610001,173.610001,447700
2019-11-29,173.190002,173.350006,171.639999,172.289993,172.289993,224000
2019-12-02,172.220001,173.910004,171.729996,172.600006,172.600006,637100
2019-12-03,171.419998,171.740005,169.440002,170.289993,170.289993,442800
2019-12-04,170.539993,172.550003,169.800003,171.820007,171.820007,500200
2019-12-05,172.399994,172.399994,170.229996,170.970001,170.970001,893400
2019-12-06,172.279999,173.130005,171.559998,171.679993,171.679993,548700
2019-12-09,171.190002,171.330002,168.990005,169.080002,169.080002,458000
2019-12-10,165.000000,168.619995,163.449997,167.539993,167.539993,688100
2019-12-11,167.869995,168.130005,166.380005,167.419998,167.419998,557200
2019-12-12,167.979996,170.169998,167.580002,169.160004,169.160004,587100
2019-12-13,169.309998,169.500000,166.240005,166.589996,166.589996,434100
2019-12-16,167.639999,168.250000,166.240005,167.309998,167.309998,550200
2019-12-17,167.289993,169.190002,167.289993,167.500000,167.500000,576200
2019-12-18,167.860001,168.259995,166.639999,167.889999,167.889999,596800
2019-12-19,168.660004,170.250000,168.570007,169.100006,169.100006,645000
2019-12-20,169.500000,169.759995,167.779999,167.800003,167.800003,978700
2019-12-23,167.830002,169.220001,167.250000,169.100006,169.100006,775700
2019-12-24,169.339996,170.080002,168.679993,168.990005,168.990005,163700
2019-12-26,169.139999,169.630005,167.470001,168.139999,168.139999,207800
2019-12-27,168.270004,169.529999,167.619995,169.339996,169.339996,345300
2019-12-30,169.199997,169.220001,167.380005,168.350006,168.350006,323600
