Date,Open,High,Low,Close,Adj Close,Volume
2010-07-28,117.000000,118.199997,116.400002,117.129997,117.129997,5472300
2010-07-29,117.989998,118.870003,115.519997,116.860001,116.860001,6175800
2010-07-30,115.529999,118.739998,114.510002,117.889999,117.889999,7077500
2010-08-02,119.150002,120.379997,117.570000,120.070000,120.070000,5443700
2010-08-03,120.000000,122.870003,119.680000,122.419998,122.419998,5953800
2010-08-04,123.059998,128.470001,123.000000,127.580002,127.580002,9270800
2010-08-05,126.769997,128.000000,125.820000,127.830002,127.830002,4282300
2010-08-06,126.720001,128.399994,125.900002,128.320007,128.320007,5065200
2010-08-09,128.460007,129.929993,127.849998,128.830002,128.830002,5085800
2010-08-10,127.949997,130.000000,127.379997,130.000000,130.000000,5706900
2010-08-11,128.100006,128.119995,125.199997,125.889999,125.889999,5541700
2010-08-12,123.760002,127.000000,123.550003,126.559998,126.559998,4367900
2010-08-13,126.059998,127.480003,124.260002,124.690002,124.690002,3976600
2010-08-16,123.610001,127.370003,123.040001,126.070000,126.070000,4024700
2010-08-17,127.339996,129.979996,126.790001,128.860001,128.860001,5044700
2010-08-18,129.250000,130.809998,128.259995,129.649994,129.649994,7901500
2010-08-19,129.220001,130.020004,126.820000,127.570000,127.570000,5582500
2010-08-20,127.199997,128.039993,126.019997,127.760002,127.760002,4170100
2010-08-23,127.860001,129.220001,126.500000,126.599998,126.599998,3861300
2010-08-24,125.410004,125.440002,123.180000,124.529999,124.529999,5369700
2010-08-25,123.849998,127.370003,123.830002,126.849998,126.849998,5344500
2010-08-26,127.150002,127.589996,124.820000,124.860001,124.860001,4694500
2010-08-27,125.459999,126.639999,122.250000,126.639999,126.639999,5080000
2010-08-30,126.029999,126.949997,123.690002,123.790001,123.790001,3426000
2010-08-31,122.849998,125.900002,122.500000,124.830002,124.830002,4225600
2010-09-01,126.360001,132.600006,126.169998,132.490005,132.490005,7138300
2010-09-02,132.169998,135.210007,132.050003,135.210007,135.210007,5407400
2010-09-03,136.889999,139.500000,136.630005,138.789993,138.789993,6581200
2010-09-07,137.559998,138.600006,136.889999,137.220001,137.220001,3883000
2010-09-08,137.929993,139.699997,136.449997,139.139999,139.139999,5828500
2010-09-09,140.389999,141.369995,139.259995,140.380005,140.380005,4958000
2010-09-10,140.750000,142.600006,140.039993,142.440002,142.440002,5043600
2010-09-13,144.070007,145.740005,143.759995,145.070007,145.070007,5077400
2010-09-14,144.500000,146.699997,143.830002,145.750000,145.750000,4319400
2010-09-15,144.880005,145.619995,143.559998,145.449997,145.449997,4903600
2010-09-16,145.399994,148.229996,145.160004,148.130005,148.130005,5827000
2010-09-17,148.899994,148.979996,146.500000,148.320007,148.320007,7259600
2010-09-20,148.699997,151.949997,147.350006,151.300003,151.300003,6449400
2010-09-21,150.759995,153.309998,149.600006,150.729996,150.729996,7542000
2010-09-22,149.839996,152.699997,149.100006,151.830002,151.830002,6612400
2010-09-23,151.199997,155.919998,150.970001,152.850006,152.850006,7065600
2010-09-24,155.429993,160.889999,155.419998,160.729996,160.729996,10590600
2010-09-27,160.220001,161.199997,157.880005,159.369995,159.369995,6446300
2010-09-28,159.839996,160.880005,154.889999,159.699997,159.699997,8494200
2010-09-29,159.029999,161.779999,157.750000,158.990005,158.990005,7287500
2010-09-30,160.009995,160.929993,155.600006,157.059998,157.059998,7606000
2010-10-01,157.080002,157.440002,152.199997,153.710007,153.710007,8683400
2010-10-04,153.949997,155.960007,152.789993,155.389999,155.389999,5346500
2010-10-05,157.080002,161.210007,157.009995,160.869995,160.869995,5620000
2010-10-06,160.600006,160.679993,154.600006,155.399994,155.399994,6060800
2010-10-07,156.509995,157.399994,153.389999,156.270004,156.270004,4622000
2010-10-08,155.179993,156.279999,152.779999,155.550003,155.550003,6918400
2010-10-11,154.889999,156.630005,152.339996,153.029999,153.029999,4486400
2010-10-12,152.509995,156.949997,151.399994,156.479996,156.479996,5280800
2010-10-13,156.690002,156.789993,153.850006,155.169998,155.169998,5632800
2010-10-14,155.160004,156.949997,154.229996,155.529999,155.529999,4024100
2010-10-15,158.419998,164.880005,156.750000,164.639999,164.639999,10135500
2010-10-18,165.000000,165.190002,161.820007,163.559998,163.559998,6331300
2010-10-19,160.679993,162.800003,157.000000,158.669998,158.669998,7525000
2010-10-20,158.779999,159.869995,156.570007,158.669998,158.669998,5790400
2010-10-21,162.669998,166.130005,161.289993,164.970001,164.970001,13482500
2010-10-22,162.449997,170.169998,162.270004,169.130005,169.130005,16318400
2010-10-25,171.570007,171.990005,168.320007,169.000000,169.000000,6530900
2010-10-26,167.570007,171.000000,167.500000,169.949997,169.949997,4689600
2010-10-27,168.910004,169.750000,166.539993,167.509995,167.509995,5721800
2010-10-28,168.309998,168.490005,165.050003,166.839996,166.839996,4684400
2010-10-29,165.800003,168.500000,164.809998,165.229996,165.229996,4998500
2010-11-01,164.449997,164.580002,161.520004,162.580002,162.580002,5239900
2010-11-02,163.750000,165.940002,163.360001,164.610001,164.610001,4260000
2010-11-03,165.399994,168.610001,162.289993,168.470001,168.470001,6112100
2010-11-04,169.860001,172.529999,168.399994,168.929993,168.929993,7395900
2010-11-05,169.350006,171.649994,168.589996,170.770004,170.770004,5212200
2010-11-08,170.839996,173.199997,168.779999,171.990005,171.990005,5706000
2010-11-09,172.669998,173.139999,169.059998,170.270004,170.270004,3978600
2010-11-10,170.589996,173.369995,169.410004,173.330002,173.330002,5440300
2010-11-11,171.000000,172.050003,169.419998,170.369995,170.369995,5691700
2010-11-12,170.119995,171.259995,165.050003,165.679993,165.679993,7160600
2010-11-15,165.160004,165.350006,158.559998,158.899994,158.899994,9648600
2010-11-16,158.740005,160.910004,156.770004,157.779999,157.779999,6571400
2010-11-17,157.839996,160.850006,157.550003,158.350006,158.350006,4524900
2010-11-18,160.740005,165.000000,160.740005,164.169998,164.169998,6225300
2010-11-19,163.949997,164.990005,162.839996,164.820007,164.820007,4464800
2010-11-22,165.100006,170.600006,165.000000,170.389999,170.389999,6142500
2010-11-23,168.610001,168.809998,164.619995,168.199997,168.199997,6465300
2010-11-24,171.529999,177.889999,171.529999,177.250000,177.250000,10042500
2010-11-26,177.360001,178.380005,176.160004,177.199997,177.199997,4271600
2010-11-29,179.990005,181.839996,177.570007,179.490005,179.490005,9695000
2010-11-30,176.949997,177.699997,174.899994,175.399994,175.399994,6762200
2010-12-01,179.160004,179.320007,176.000000,176.550003,176.550003,5770100
2010-12-02,176.860001,177.449997,173.919998,176.529999,176.529999,5537600
2010-12-03,175.500000,176.399994,174.050003,175.679993,175.679993,4907500
2010-12-06,175.520004,178.429993,174.600006,178.050003,178.050003,5654200
2010-12-07,180.500000,181.470001,176.570007,176.770004,176.770004,5077100
2010-12-08,177.490005,178.160004,175.199997,176.289993,176.289993,3726900
2010-12-09,177.770004,178.110001,173.800003,174.850006,174.850006,4555500
2010-12-10,174.880005,175.949997,173.360001,175.619995,175.619995,3565500
2010-12-13,176.330002,177.940002,173.729996,174.250000,174.250000,4202500
2010-12-14,174.279999,175.759995,173.089996,173.940002,173.940002,3685300
2010-12-15,173.720001,179.000000,173.589996,175.570007,175.570007,5810500
2010-12-16,175.580002,178.300003,175.039993,178.039993,178.039993,4121500
2010-12-17,178.410004,178.750000,177.020004,177.580002,177.580002,4507300
2010-12-20,179.270004,183.979996,178.039993,183.289993,183.289993,8735300
2010-12-21,183.880005,185.649994,182.600006,184.750000,184.750000,5111000
2010-12-22,185.000000,185.449997,184.110001,184.759995,184.759995,2578100
2010-12-23,184.339996,184.979996,181.889999,182.589996,182.589996,3358200
2010-12-27,181.899994,183.139999,180.449997,182.139999,182.139999,2249400
2010-12-28,182.100006,182.770004,181.050003,181.089996,181.089996,1975000
2010-12-29,181.800003,184.350006,180.410004,183.369995,183.369995,3120100
2010-12-30,183.919998,184.550003,182.750000,182.750000,182.750000,1961200
